produkt_id,produkt,wariant_id,pozycja,szerokosc_od_mm,szerokosc_do_mm,wysokosc_od_mm,wysokosc_do_mm,minimalna_glebokosc_mm,wykonczenie,cena_brutto_pln,zrodlo_selly
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,580,6,100,349,501,625,,Biały RAL 9010,374,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,581,7,100,349,626,830,,Aluminium decor,425,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,582,8,100,349,626,830,,Biały RAL 9010,425,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,583,9,100,349,831,1050,,Aluminium decor,482,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,584,10,100,349,831,1050,,Biały RAL 9010,482,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,585,11,350,410,300,420,,Aluminium decor,352,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,586,12,350,410,300,420,,Biały RAL 9010,352,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,587,13,350,410,421,500,,Aluminium decor,408,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,588,14,350,410,421,500,,Biały RAL 9010,408,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,589,15,350,410,501,625,,Aluminium decor,408,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,590,16,350,410,501,625,,Biały RAL 9010,408,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,591,17,350,410,626,830,,Aluminium decor,459,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,592,18,350,410,626,830,,Biały RAL 9010,459,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
